,Job Title Index,Job Title,Link,Job Description,Python,R,SQL,HADOOP,POWER BI,TABLEAU
0,0,Data Analyst,https://ca.indeed.com/rc/clk?jk=a17d5c493d53a7f7&fccid=b7748d8d3ec813ec&vjs=3,"Division186 – Pandemic ResponseTemporary DurationApproximate Duration: 18 - 24 monthsAbout UsServing a diverse urban and rural population of more than 430,000, Niagara Region is focused on building a strong and prosperous Niagara. Working collaboratively with 12 local area municipalities and numerous community partners, the Region delivers a range of high quality programs and services to support and advance the well-being of individuals, families and communities within its boundaries. Nestled between the great lakes of Erie and Ontario, the Niagara peninsula features some of Canada’s most fertile agricultural land, the majesty of Niagara Falls and communities that are rich in both history and recreational and cultural opportunities. Niagara boasts dynamic modern cities, Canada’s most developed wine industry, a temperate climate, extraordinary theatre, and some of Ontario’s most breathtaking countryside. An international destination with easy access to its binational U.S. neighbour New York State, Niagara attracts over 14 million visitors annually, as well as a steady stream of new residents and businesses.Please note that the Niagara Region requires that all newly hired employees are to be fully vaccinated against COVID-19 as a condition of being hired and provide proof of full vaccination, or provide proof of a bona fide medical or Human Rights Code exemption on a form issued from and approved by Niagara Region.Job DescriptionJob SummaryReporting to the Manager, the Data Analyst is responsible for providing coordination, training, problem resolution and support to all users of various data systems including but not limited to provincial/ ministry data bases, program specific data bases to support the department and specific programs across public healthEducationPost-secondary diploma, including courses related to data collection and statistical analysis or equivalent combination of education training and experiencePost-secondary degree in health-related field is preferred (Public/Community Health, Health Informatics/Information, Health Sciences)Certified Business Analysis Professional is preferredKnowledgeOne to two years’ experience with various databases, client health care record systems and statistical reporting.Project management is preferredExperience working within a multidisciplinary team in a health setting is preferredKnowledge of databases and web-based applications, Excel, computer logic and applications, provincial data elements, entry requirements, and provincial standardsRegistered with the Canadian College of Health Information Management (CCHIM) is preferredResponsibilitiesEnsures quality assurance of data entry by Niagara Region Public Health staff.Ensures timely, accurate data entry in accordance with department and/or Ministry protocols and directivesReviews applicable directives on a regular basis to monitor and implement appropriate changes and updates to the system(s)Identifies criteria for which heightened surveillance is requiredAligns data requirements of internal and external stakeholders, working closely with interdisciplinary staff to ensure accurate interpretation of applicable directives relevant to divisional requirements, case information and investigationIdentifies data required in respective programs to inform planningRuns general reports and conducts statistical analysis using predetermined standards at regular intervals to provide regular and timely information that will inform planningConducts audits of documentation (both electronic and paper) as requiredMaintains user guides, ensuring requirements are current, updating manuals, as required and ensuring system users are familiar with manuals and updates.Attends and participates in teleconferences and training as requiredEnsures system security and effectiveness, adhering to registration protocols and policies of confidentiality and regularly reviewing data entry requirements.Assesses system capability to define required fieldsLiaises with internal and external stakeholders and resources to resolve problemsAssesses system audit needs and designs and implements systemic audit processes and protocols supporting compliance with Personal Health Information Protection Act (PHIPA) and Privacy requirements.Audit system access to ensure the security levels are appropriate for each systemMonitors data quality and provides training to support use of databases and other forms of Electronic Medical RecordsIdentifies training needs through documentation audit and applicable directives.Reviews directives with users and identifies training needs.Plans, schedules and implements training sessions as identified.Evaluates user learning and abilities.Oversees the dissemination of surveillance and data entry directives to staff.Communicates data entry requirements, program updates and related process changes to staff.Ensures data system users are aware of directives.Assists the division with performance monitoring and the use of data for continuous quality improvement initiatives, score carding and dash boarding.Supports data-driven decision making and facilitates root cause analysis in continuous quality improvement projectsKnowledge translationReport writingPresenting findings to groupsStaff training – pertaining to databasesDisseminate information to teams, our customers and/or managementSpecial RequirementsAnnual influenza vaccination – preferred.Must maintain ability to travel in a timely manner to other offices, work locations or sites as authorized by the Corporation for business reasons.Regional staff strive to enable the strategic priorities of council and the organization through the completion of their work. Staff carry out their work by demonstrating the corporate values of service, honesty, choice, partnership and respect.Closing StatementUncover the wonder of the Niagara Region and join a team dedicated to meeting tomorrow’s challenges TODAY!Let us know why you would be an excellent team member by submitting your online application.We thank all candidates for their interest however, only those candidates selected for an interview will be contacted.",0,1,0,0,0,0
1,0,Data Analyst (Entry Level),https://ca.indeed.com/rc/clk?jk=42af005c850840c8&fccid=be1d61a97eeef180&vjs=3,"Jarvis Consulting Group identifies high potential individuals and develops them into professional technology consultants working with the hottest technologies in some of Canada’s top companies. We recognize that entering the workforce as a newcomer or new grad is a challenging task, and that's why our mission is to empower underrepresented candidates through cutting-edge skills training and professional career coaching, so that they can develop the skills they need to succeed in today's workforce.At Jarvis, you will have the opportunity to gain valuable work experience, develop a strong portfolio and build the confidence to jumpstart your career with one of Canada's top companies. We believe in autonomy and continuous learning, and we are committed to creating opportunities for you to grow and thrive.The OpportunityWe're looking for individuals with the right attitude and aptitude to become Data Analysts and work with some of Canada's top companies to unlock the value of their data!Our talent incubation program provides you with the opportunity to gain valuable industry experience to jump-start your career. Since we keep up to date with the latest industry trends, we ensure you get an experience that applies to the workforce we are preparing you for, from training and skill development to employment placement.Once you successfully complete the Talent Incubation Training Program led by leading industry professionals, you will be guaranteed a two-year placement with one of our prominent clients and some of Canada's top companies!What This Opportunity Offers3-months of cost-free comprehensive training and projects led by industry experts:Linux, SQL, GIT, SDLC, Design patternsJava & Springboot, Microservice, REST APICloud Computing and DevOpsData Analytics with SQL and PythonBig Data with Hadoop, Spark, Scala, etc.The opportunity to drastically improve your skills by working with Tech Leads and Professionals while writing more than 15k lines of code in Java, Python, Scala, SQL, etc.Guaranteed two-year placement upon successful completion of the program.The chance to improve your soft skills to unlock new potential, confidence, and leadership.Dedicated support to help you develop your career throughout the program and beyond including, coaching, professional networking opportunities and attaining industry-recognized certificationsWhat we're looking forExperience and educationDiploma or degree in computer science, technology, engineering, or a mathematical discipline (STEM)Aptitude for logical reasoning and quantitative problem solvingGood oral and written communication skillsGood collaboration and teamwork skillsLegally permitted to work in Canada (citizen/permanent resident/work permit)Core Technical SkillsProficient with Java or another object oriented programming language ( e.g. C/C++/C#, Python, Golang, Ruby, JavaScript, etc)Familiar with with RDBMS or No-SQL databasesHave completed at least one course (online or school) related to designing algorithms and data structuresNice-to-have: Hadoop, Spark, Kafka, Could, Linux, DevOps, JavaScript/Angular/React/Vue, Data ScienceWho we're looking forCurious - You’re interested in experimenting, learning, innovating, and trying new thingsCustomer Focused – You strive to create value for your customers and always deliver with qualityAdaptable - You maintain a focus on results even as plans and priorities change and consistently deliver valueHumble - You recognize your strengths as well as your opportunities and are always willing to learn from othersCollaborative - You value the success of the group and freely share your knowledge, experience, and insightWhy you should work with usThe ability to have your potential recognized and rewardedPractical and relevant training utilizing the newest technologiesSupport to help you establish your career and achieve your goalsThe opportunity to work on innovative projects within a variety of Canada’s top companiesA competitive compensation package with support for continuous learning",1,1,1,1,0,0
2,0,Data/Business Intelligence Analyst (Remote),https://ca.indeed.com/company/Mero/jobs/Data-Business-Intelligence-Analyst-b26bf3d2c095f767?fccid=5cb3320e6428b117&vjs=3,"At Mero, we are bringing transparency to the commercial real estate industry. Our platform combines hardware and software, empowering buildings to minimize their environmental impact, control costs, and help the world return safely to public spaces. Mero is relied upon by millions of square feet of space around the world, including hospitals, offices, stadiums, and airports. Mero’s mission is to foster beautiful, healthy, and sustainable urban environments for all.As a Data/Business Intelligence Analyst you will be responsible for bringing cutting edge reports and insights directly to customers. You will be closely involved with both the business and data science teams to both understand customer needs while making use of new data science algorithms and outputs. The ideal candidate is someone who is eager to take on new challenges, is detail-oriented and loves to see their reports and data insights change the lives of our customers and partners.Responsibilities- Work in tandem with Business, and Data Science Teams to bring insights to customers in the form of custom reports- Support the creation and follow through of customer KPIs to ensure their success on our platform- Locate and flag abnormal behavior including down and/or malfunctioning sensors- Work with data to not only present it to customers but tell them actionables based on the data generated from the platform- Give feedback to the Data Science team to ensure that they are producing algorithms that give helpful insights to customers- Structure data in formats that are helpful for the Data Science team to run ML/AI algorithms on- Serve as a subject matter expert for data generationRequirements- 2+ years of experience in working with data, whether it being in a business or technical role- Experience working in an agile/scrum environment- Background knowledge in SQL and BI tools (ex. Tableau, Power BI...)- A self-driven learner who feels confident to take on new challenges independently- Experience in report generation as well as technical writing ability- Knowledge of design tools like Figma is optional but welcome- Must be able to work in EST (Toronto) time zoneWhat will make you successful in this role?- An attention to detail and ensuring that the work you are doing aligns with the customer’s/team’s objectives- Knowledge and interest in the product and use case- Natural curiosity when presented with different types of data- Ensuring that the data presented creates change in the eyes of the customerJob Type: Full-timeSalary: $30,000.00-$65,000.00 per year",0,1,1,0,1,1
3,0,Junior Data Analyst,https://ca.indeed.com/rc/clk?jk=1fd5cc124fd8fcaf&fccid=47b2425a6076f68f&vjs=3,"The Opportunity:O2E Brands is looking for a Junior Data Analyst to join our growing team! As part of the Business Intelligence department, you will play a pivotal role in maturing our use of data across the organization. Working closely with our data engineers, you will help build and maintain the decision support tools for our business units to enable data driven decision making!A Day in the Life:Design, develop, maintain and optimize reports and dashboardsEnsure consistent application of data governance initiativesContribute to and keep up to date both the data catalog and report inventoryBuild data collection and decision support toolsActively participate and contribute to the Tableau Analyst GroupWhat You Bring to the Table:A university degree or diploma in Computing Science, Statistics, Mathematics, Business or similar disciplines1+ years of work experience in Business Intelligence and AnalyticsProficiency in writing SQL queries across multiple tablesPassion for data visualization with TableauExperience blending data from disparate sourcesDemonstrated ability commit to deliverables and manage priorities effectivelyExcellent verbal and written communicationsKnowledge of Python and Agile Scrum would be considered an assetAbout Us:Did you know O2E Brands has been voted one of the Best Workplaces in Canada 12 times!?Take a sneak peek into why that is, here: (https://youtu.be/DJA02gMNU-0)Check us out on social!At O2E Brands we know that great talent comes in many forms and we want to meet you at your best. We will provide reasonable accommodations to applicants with disabilities at any time throughout the recruitment and selection process. Please reach out to our Talent Acquisition Team at talentacquisition@o2ebrands.com or notify the Talent Acquisition team member you are working with if unique arrangements will enable your equal participation.",1,1,1,0,0,1
4,0,Data Analyst,https://ca.indeed.com/rc/clk?jk=0c9ffa6d877d581d&fccid=a614b30520ebe6c9&vjs=3,"From coast-to-coast, our inspiring colleagues are at the heart of what we do best: helping people, businesses and society prosper in good times and be resilient in bad times. With our team, you’ll bring this purpose to life every day by living our Values, being open to change, and pursuing your goals.At Intact, we’ll give you countless opportunities to learn and grow, alongside a diverse and passionate community of experts – the best the industry has to offer. You’ll be empowered to be your best self, do your best work, and make a meaningful impact. Here, you can: shape the future of insurance, win as a team, and grow with us.About the roleWe’re looking for an Data Analyst to join our growing team!The Personal Lines Operations and Planning team is looking for a Data Analyst who will be responsible for drafting and executing controls for 52-109. People will count on you to maintain processes and adhere to defined controls.This is a full time permanent opportunity available in our Ajax, Toronto, Calgary, Edmonton or Montreal offices.What you’ll do here:Secure and validate data from multiple sources.Compile data elements and complete analysis for execution of controls.Maintain quality standards of control and documentation to meet financial compliance requirements.Correspond with managers, directors, and VPs.Meet established timelines to ensure ongoing task deadlines are met.Liaise with IT contacts for task support.Actively seek to improve existing procedures in effectiveness and efficiency.Support in the development of new control procedures.QualificationsWhat you bring to the table:Post secondary education is Business, Data Analysis, IT or equivalent requiredA minimum of 2 years’ experience in an analytics role is preferredKnowledge & experience in IT, Audit and/or Data Analysis in a large organization is an assetExcellent knowledge of Office Suite, particularly Excel is requiredAbility and desire to learn/adapt quickly to a changing environment while working independentlyAbility to analyze and communicate complex resultsExcellent time management & organization skillsStrong written communication skills in effectively working within a virtual team and collaborating with a number of business partnersKnowledge of Power BI is an assetBilingualism is an assetHere are a few reasons why others have joined our team:An award-winning, inspiring workplace that supports its people and recognizes great workStimulating, challenging projects and development opportunities to help you grow your skills and careerA comprehensive financial rewards program that recognizes your successAn extensive, flexible benefits packageAn industry leading Employee Share Purchase Plan where we match 50% of net shares purchasedA $350 annual wellness account that promotes an active lifestyleFlexible Work ArrangementsRight now, we support 100% remote work, if your role permits. We anticipate that in early 2022, we’ll be moving to a hybrid approach which gives us the best of both worlds – a mix of home and in-office workdays.Closing StatementWe are an Equal Opportunity EmployerAt Intact, our value of Respect is founded on seeing diversity as a strength, being inclusive and fostering collaboration. We value diversity and strive to create an inclusive, accessible workplace where all individuals feel valued, respected and heard.If we can provide a specific adjustment to make the recruitment process more accessible for you, please advise the Talent Acquisition partner who reaches out about the job opportunity and they will work with you to meet your needs.Background ChecksAs an employer and publicly traded financial services company, the best interests of our customers, employees and shareholders are important to us. We want Intact to be a great place to work! This means that internal and external candidates will be asked to consent to background checks so we can learn more about you. Please note that for positions with access to financial data or funds, your credit must be in good standing.Internal CandidatesFor internal candidates, you can apply for a posted position if you have been in your current position for at least 12 months and are performing at a satisfactory level. Please note we may have identified other internal candidates through our Employee Development Program, and that the selection process may also be opened to external applicants.Eligibility to Work in CanadaIt’s important that you are legally eligible to work in Canada at the time an offer of employment is made. You may be requested to provide proof of eligibility at that time.This posting closes on November 9, 2021 at 11:59 p.m. EST.",0,1,0,0,1,0
5,0,data analyst - informatics and systems,https://ca.indeed.com/rc/clk?jk=ab2f226d320093ce&fccid=18b8a5794f3457fb&vjs=3,Management Systems (erp or db)OracleMySQLMS AccessMS SQL ServerBusiness Equipment and Computer ApplicationsMS ExcelProgramming LanguagesMySQLPythonWork Conditions and Physical CapabilitiesFast-paced environmentWork under pressureAttention to detailComputer and Technology KnowledgeDatabase softwareProgramming languagesData analysis softwarePersonal SuitabilityAccurateTeam playerJudgementOrganizedBenefitsOther Benefits,1,1,1,0,0,0
6,0,Data Analyst - Thoracic Surgery,https://ca.indeed.com/rc/clk?jk=a09548353276ef8c&fccid=2bef55e014d470c4&vjs=3,"Job Posting #886704Position: Data Quality AnalystSite: Toronto General HospitalDepartment: Thoracic SurgerySalary Range: $48,457 - $60,586 per annumStatus: Permanent Full-timeUniversity Health Network (UHN) is looking for an experienced professional to fill the key role of Data Quality Analyst in our Thoracic Surgery Department.The Energy of the City. The Rewards of a Great Career.The University Health Network, where “above all else the needs of patients come first”, encompasses Toronto General Hospital, Toronto Western Hospital, Princess Margaret Cancer Centre, Toronto Rehabilitation Institute and the Michener Institute of Education at UHN. The breadth of research, the complexity of the cases treated, and the magnitude of its educational enterprise has made UHN a national and international resource for patient care, research and education. With a long tradition of groundbreaking firsts and a purpose of “Transforming lives and communities through excellence in care, discovery and learning”, the University Health Network (UHN), Canada’s largest research teaching hospital, brings together over 16,000 employees, more than 1,200 physicians, 8,000+ students, and many volunteers. UHN is a caring, creative place where amazing people are amazing the world. Find out about our purpose, values and principles here.The Thoracic Surgery Data Quality Analyst is an essential member of our health care and research team. The analyst will provide administrative and technical assistance to the department, mainly involved with routine data/information collection and input, assuring complete and accurate data is collected. The principal responsibilities include; extracting, analyzing and abstracting data into the Thoracic Surgery Database; assisting in analysis of research data as necessary, assisting in the interpretation of results and the preparation of material for presentation; carrying out literature reviews; performing cross-functional and/or other duties consistent with the job classification, as assigned or requested. The Data Quality Analyst will exercise considerable judgment and independence to provide support for department specific needs. The data analyst will perform additional clerical functions and other duties to support the work being carried out by the department or unit as required. The Data coordinator is also responsible for submission and validation of different thoracic surgery procedure data to the Canadian Association of Thoracic Surgery (CATS) Database and the Society of Thoracic Surgeons (STS) Database using specialized software applications. Daily liason with the clinical team will be required to capture all clinical event on in-patients. This role supports UHN Sprott Department of Surgery initiative for quality improvement and patient safety by measuring and analyzing procedural outcomes.KEY RESPONSIBILITIESPerforms ongoing capture of specific data elementsKeeps Database data elements up to date according to fields specified by members of the Department.Provides accurate and timely Data Collection and submissions as requiredParticipates in team meetings and audits as required.QUALIFICATIONSAt minimum, completion of a 3 year community college program in Database Management, or recognized equivalent required.Bachelor's Degree preferredKnowledge of medical terminologyAbility to work independently, under supervision and as part of a team, as required and appropriateProficient in MS-Access, MS-Excel, MS-OfficeComputer proficiency at the introductory level, with the ability to learn database management and report writingExperience with clinical patient information systemsExcellent written and verbal communication skills, excellent organization, good computer skills, ability to learn quickly and work independently.Excellent interpersonal skills and ability to work with a multidisciplinary team.Keen attention to detail required.Ability to perform duties in a professional and courteous manner and produce high quality work while meeting deadlines in accordance to UHN standards.Ability to perform multiple concurrent tasks.Client service oriented, with the ability to effectively work with diversity and appreciate that people with different opinions, backgrounds and characteristics bring richness to the challenge or situation at hand.Ability to perform patient chart research and data acquisition, with the use of various computer software.Vaccines (COVID-19 and others) are a requirement of the job unless you have an exemption on a medical ground pursuant to the Ontario Human Rights Code.Posted Date: October 21, 2021 Closing Date: October 28, 2021For current UHN employees, only those who have successfully completed their probationary period, have a good employee record along with satisfactory attendance in accordance with UHN's attendance management program, and possess all the required experience and qualifications should apply.University Health Network thanks all applicants, however, only those selected for an interview will be contacted.UHN is a respectful, caring, and inclusive workplace. We are committed to championing accessibility, diversity and equal opportunity. Requests for accommodation can be made at any stage of the recruitment process providing the applicant has met the Bona-fide requirements for the open position. Applicants need to make their requirements known when contacted.",0,1,0,0,0,0
7,0,Data Analyst,https://ca.indeed.com/company/Bitbuy-Technologies-Inc./jobs/Data-Analyst-fcc63c78c3788c81?fccid=4fde151bbecd30ba&vjs=3,"About UsAt Bitbuy, our mission is clear: to provide convenient, dependable and secure access to Bitcoin and other digital currencies. We believe that cryptocurrency is paving the way for retail, and corporate investors alike.Being Canada’s most trusted platform is not easy. We pride ourselves in providing top-notch security, convenient funding options, and unmatched customer service for our users.Bitbuy is a Federally Incorporated organization and is registered with FINTRAC as a Money-Service Business. Our business won a Notable Startup award in 2018 and ranked 54th on 2020 Startup list by Canadian Business. With offices in Toronto and Halifax, we are now proudly a team of over 50 talented individuals and counting. Our team has grown over the past year as our plans to grow continue!Position overviewReporting directly to Bitbuy’s COO, you will be required to help our Marketing, Product, Sales, Operations and Leadership teams make more informed decisions through clear presentation of our business metrics.Responsibilities- Organize and analyze data related to all Bitbuy paid and unpaid marketing channels including affiliate, digital, social, audio, broadcast and more- Work alongside Bitbuy’s engineering team to interpret and analyze internal data sets of product usage, particularly how they affect the business- Regularly collect and present data findings to team leadership and assist in making data driven marketing and business decisions- Conduct deep analysis to gain deeper cause-and-effect insight into business performance and initiatives- Ensure KPIs are being provided in a timely manner and consistent manner through ongoing reports- Assist in Business Intelligence integration- Regularly collect and present data findings to leadershipWho You Are- You have 2-4 years of experience in an analytics or business intelligence role- You're experienced in usingMySQL, Python, Pivot Tables, Excel Tableau, Email Marketing systems, and, working with large data sets- You have advanced financial, statistical and data analysis skills- You are a strong communicator of analytical findings- You have worked in a face paced, agile, and sometimes high-pressure environment- You have a strong customer focus, with experience in consumer and marketing research- You have worked with digital marketing platforms and offline marketing measurement tools- You are familiar with crypto and financial marketsBitbuy is committed to providing accommodations at all stages of the recruitment process in accordance with applicable human rights and accommodation legislation. If contacted for an employment opportunity, please advise us if you require accommodation.Job Type: Full-timeSalary: $75,000.00-$90,000.00 per year",1,1,1,0,0,1
8,0,database analyst,https://ca.indeed.com/rc/clk?jk=64d00c5df95992c3&fccid=22fac912318d3005&vjs=3,"Specific SkillsCollect and document user's requirementsDesign and develop databaseDesign, construct, modify, implement and test data models and database management systemsConduct research and provide advice to other informatics professionals regarding the selection application and implementation of database management toolsOperate database management systems to analyze dataResearch and document data requirements, data collection and administration policy, and data access rulesDevelop policies and procedures for network access and usage and for the backup and recovery of dataConduct research and provide advice to other information systems professionals regarding the collection, availability and suitability of dataLead and co-ordinate teams of data administrators in the development and implementation of data policies, standards and modelsDevelop and implement data administration policy, standards and modelsWrite scripts related to stored procedures and triggersData ScienceSecurity and SafetyCriminal record checkPersonal SuitabilityInitiativeAccurateTeam playerClient focusJudgementOrganized",0,1,0,0,0,0
9,0,Data Analyst - Winter Student,https://ca.indeed.com/rc/clk?jk=8691881c379f5333&fccid=13eedb937c7ac8be&vjs=3,"Scribendi is offering a paid 7-week winter internship.The Data Analyst will be tasked with analysis for a strategic marketing and operations project related to the implementation of a dynamic pricing strategy. The successful candidate must be passionate about data analysis, experienced in performing statistical analysis, and comfortable fine-tuning results through tests.As per the Canada Summer Jobs Program, participants must be between 15–30 years of age and must be legally entitled to work according to the relevant provincial/territorial legislation and regulations.Why you want to work here:Enjoy a dynamic corporate culture founded on flexibility and continuous learningCareer development opportunitiesAn opportunity to use the latest tools and technologies for an online world (Stripe, Slack, Active Collab, etc.)Employment type:InternshipPlease apply to scribendi.hr@scribendi.com with a cover letter detailing your experience and passion for working with artificial intelligence along with your resume and salary expectations.",0,1,0,0,0,0
