University,Course Title,Short Description,Syllabus,Credits
University of British Columbia ,Porgramming for Data Science,"Program design and data manipulation with Python. Overview of data structures, iteration, flow control, and program design relevant to data exploration and analysis. When and how to exploit pre-existing libraries.","Pseudo-code. Program design and structure. Flow control. Iteration. Lists (arrays). Functions. File I/O. Classes, objects, methods, and libraries.",1
University of British Columbia ,Computing Platforms for Data Science,"How to install, maintain, and use the data scientific software “stack”. The Unix shell, version control, and problem solving strategies. Literate programming documents.","ntroduction to software, shells, tools, and file systems for use in the Data Science program. Installation, configuration, and use of statistical and programming software including Integrated Development Environments (IDEs). Problem resolution skills.",1
University of British Columbia ,Programming for Data Manipulation,"Program design and data manipulation with R. Organizing, filtering, sorting, grouping, reformatting, converting, and cleaning data to prepare it for further analysis.","Program design and data manipulation using industry-standard software tools designed for statistical work. Organizing, filtering, sorting, grouping, reformatting, converting, and cleaning data to prepare it for further analysis. This course is not eligible for Credit/D/Fail grading.",1
University of British Columbia ,"Fundamental concepts in probability including conditional, joint, and marginal distributions. Statistical view of data coming from a probability distribution.","Fundamental concepts in probability including conditional, joint, and marginal distributions. Statistical view of data coming from a probability distribution.","Descriptive statistics including measures of location and spread. Random variables, distributions, and parameters. Categorical variables. Uncertainty. Missing data.",1
University of British Columbia ,Algorithms and Data Structures,"How to choose and use appropriate algorithms and data structures to help solve data science problems. Key concepts such as recursion and algorithmic complexity (e.g., efficiency, scalability).","Basic algorithms. Recursion. Data structures including linked lists, queues, stacks, trees, graphs, and hash tables. Searching and sorting. Introduction to complexity including Big-O notation, efficiency, and scalability.",1
University of British Columbia ,Data Visualization I,Exploratory data analysis. Design of effective static visualizations. Plotting tools in R and Python.,"Descriptive plots using statistical and programming software. Basics, mechanics, and principles of data visualization.",1
University of British Columbia ,Statistical Inference and Computation I,"The statistical and probabilistic foundations of inference, developed jointly through mathematical derivations and simulation techniques. Important distributions and large sample results. Methods for dealing with the multiple testing problem. The frequentist paradigm.","Random variables, parameters, observed data, statistics (distinctions and connections). Estimation: point and interval. Two-group comparisons, frequentist version. Simulation-based approaches.",1
University of British Columbia ,Supervised Learning I,"Introduction to supervised machine learning. Basic machine learning concepts such as generalization error and overfitting. Various approaches such as K-NN, decision trees, linear classifiers.",Decision trees. k-th nearest neighbour classifiers. Naive Bayes classifiers. Logistic regression.,1
University of British Columbia ,Databases and Data Retrieval,"How to work with data stored in relational database systems. Storage structures and schemas, data relationships, and ways to query and aggregate such data.",Relational schemas. SQL queries. Database programming using embedded SQL. XML and XQuery.,1
University of British Columbia ,Data Science Workflows,Interactive vs. scripted/unattended analyses and how to move fluidly between them. Reproducibility through automation and containerization.,Interactive and non-interactive data analysis. Scripting. Dynamic reporting. Reproducibility. Project and file management. Version control. Automated workflows.,1
University of British Columbia ,Regression I,"Linear models for a quantitative response variable, with multiple categorical and/or quantitative predictors. Matrix formulation of linear regression. Model assessment and prediction.",Linear models: continuous response; one or more categorical covariates and/or one or more continuous covariates.,1
University of British Columbia ,Feature and Model Selection,"How to evaluate and select features and models. Cross-validation, ROC curves, feature engineering, and regularization.","Performance of a classification model. Generalization error, overfitting of training data. Shrinkage, feature selection, Akaike Information Criterion, Bayesian Information Criterion. k-fold cross validation. Bootstrapping. Receiver Operating Characteristic curve. Elastic nets, regularization.",1
University of British Columbia ,Collaborative Software Development,"How to exploit practices from collaborative software development techniques in data scientific workflows. Appropriate use of abstraction, the software life cycle, unit testing / continuous integration, and packaging for use by others.",Software life cycle. Unit testing. Continuous integration. Submission to a relevant repository for distribution. Packaging for installation and use by others. Software licenses. Classes and abstraction.,1
University of British Columbia ,Communication and Argumentation,How to interpret and present data science findings to a variety of audiences. Written and spoken presentation skills.,"Claims, reasons, and evidence. Strengths and weaknesses of models. Effective oral and written presentation of scientific results, including interpretation of data and recognition of assumptions, bias, validity, and reliability. Citations, references, and peer-review.",1
University of British Columbia ,Regression II,"Useful extensions to basic regression, e.g., generalized linear models, mixed effects, smoothing, robust regression, and techniques for dealing with missing data.",Non-parametric regression and smoothing. Data-driven parameter selection. Robust regression. Mixed effects.,1
University of British Columbia ,Supervised Learning II,"Introduction to numerical optimization (e.g., gradient descent). Neural networks and deep learning.",Support Vector Machines. Random Forests. Ensemble Classifiers. Graphical models.,1
University of British Columbia ,Data Visualization II,"How to make principled and effective choices with respect to marks, spatial arrangement, and colour. Analysis, design, and implementation of interactive figures. How to provide multiple views, deal with complexity, and make difficult decisions about data reduction.","Interactive visualization, design choices, dynamic change over time, multiple views, data reduction, dealing with complexity.",1
University of British Columbia ,Statistical Inference and Computation II,Bayesian reasoning for data science. How to formulate and implement inference using the prior-to-posterior paradigm.,"Multiple hypothesis testing, false discovery rate. Two-group comparisons, Bayesian paradigm.",1
University of British Columbia ,Unsupervised Learning,"How to find groups and other structure in unlabeled, possibly high dimensional data. Dimension reduction for visualization and data analysis. Clustering, association rules, model fitting via the EM algorithm.","Unsupervised learning. K-means/medoids. Model-based clustering. Expectation-maximization algorithm. Hierarchical clustering. Dimension reduction. Matrix decomposition. Heatmaps, contour plots, dendograms.",1
University of British Columbia ,Spatial and Temporal Models,Model fitting and prediction in the presence of correlation due to temporal and/or spatial association. ARIMA models.,Time series. State space and change point detection. Hidden Markov Models. Gaussian processes.,1
University of British Columbia ,Web and Cloud Computing,"How to use the web as a platform for data collection, computation, and publishing. Accessing data via scraping and APIs. Using the cloud for tasks that are beyond the capability of your local computing resources.","Networks and the Internet, scraping data, APIs, cloud computing, Web services for scalable computing, Web hosting, Web publication platforms, introduction to parallel computing.",1
University of British Columbia ,"Privacy, Ethics, and Security","The legal, ethical, and security issues concerning data, including aggregated data. Proactive compliance with rules and, in their absence, principles for the responsible management of sensitive data. Case studies.","Privacy and data. Ethics boards, legal issues, licensing. Physical and logical data security, social engineering. Encryption, data anonymization, privacy-preserving techniques. Case studies.",1
