Coursera,Course Name,Company,Course Description,Topics,Skills
,Introduction to Data Science Specialization,IBM,"Interested in learning more about data science, but don’t know where to start? This 4-course Specialization from IBM will provide you with the key foundational skills any data scientist needs to prepare you for a career in data science or further advanced learning in the field. Interested in learning more about data science, but don’t know where to start? This 4-course Specialization from IBM will provide you with the key foundational skills any data scientist needs to prepare you for a career in data science or further advanced learning in the field.  

This Specialization will introduce you to what data science is and what data scientists do. You’ll discover the applicability of data science across fields, and learn how data analysis can help you make data driven decisions. You’ll find that you can kickstart your career path in the field without prior knowledge of computer science or programming languages: this Specialization will give you the foundation you need for more advanced learning to support your career goals.

You’ll grasp concepts like big data, statistical analysis, and relational databases, and gain familiarity with various open source tools and data science programs used by data scientists, like Jupyter Notebooks, RStudio, GitHub, and SQL. You'll complete hands-on labs and projects to learn the methodology involved in tackling data science problems and apply your newly acquired skills and knowledge to real world data sets.","Describe what data science and machine learning are, their applications & use cases, and various types of tasks performed by data scientists  

Gain hands-on familiarity with common data science tools including JupyterLab, R Studio, GitHub and Watson Studio 

Develop the mindset to work like a data scientist, and follow a methodology to tackle different types of data science problems

Write SQL statements and query Cloud databases using Python from Jupyter notebooks
","Data Science
Relational Database Management System (RDBMS)
Cloud Databases
Python Programming
SQL
Deep Learning
Machine Learning
Big Data
Data Mining
Github
Jupyter notebooks
Rstudio"
,Introduction to Data Science in Python,University of Michigan,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses. 

This course should be taken before any of the other Applied Data Science with Python courses: Applied Plotting, Charting & Data Representation in Python, Applied Machine Learning in Python, Applied Text Mining in Python, Applied Social Network Analysis in Python.","Understand techniques such as lambdas and manipulating csv files

Describe common Python functionality and features used for data science

Query DataFrame structures for cleaning and processing

Explain distributions, sampling, and t-tests","Python Programming
Numpy
Pandas
Data Cleansing"
,Introduction to Data Analytics,IBM,"This course presents a gentle introduction into the concepts of data analysis, the role of a Data Analyst, and the tools that are used to perform daily functions. You will gain an understanding of the data ecosystem and the fundamentals of data analysis, such as data gathering or data mining.  You will then learn the soft skills that are required to effectively communicate your data to stakeholders, and how mastering these skills can give you the option to become a data driven decision maker.

This course will help you to differentiate between the roles of a Data Analyst, Data Scientist, and Data Engineer. You will learn the responsibilities of a Data Analyst and exactly what data analysis entails. You will be able to summarize the data ecosystem, such as databases and data warehouses. You will then uncover the major vendors within the data ecosystem and explore the various tools on-premise and in the cloud. Continue this exciting journey and discover Big Data platforms such as Hadoop, Hive, and Spark. By the end of this course you will be able to visualize the daily life of a Data Analyst, understand the different career paths that are available for data analytics, and identify the many resources available for mastering this profession.

     Throughout this course you will learn the key aspects to data analysis. You will begin to explore the fundamentals of gathering data, and learning how to identify your data sources. You will then learn how to clean, analyze, and share your data with the use of visualizations and dashboard tools. This all comes together in the final project where it will test your knowledge of the course material, explore what it means to be a Data Analyst, and provide a real-world scenario of data analysis. 

     This course does not require any prior data analysis, spreadsheet, or computer science experience. All you need to get started is basic computer literacy, high school level math, and access to a modern web browser such as Chrome or Firefox.",,"Data Science
Spreadsheet
Data Analysis
Microsoft Excel"
,Applied Data Science with Python Specialization,University of Michigan,"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.

Introduction to Data Science in Python (course 1), Applied Plotting, Charting & Data Representation in Python (course 2), and Applied Machine Learning in Python (course 3) should be taken in order and prior to any other course in the specialization.  After completing those, courses 4 and 5 can be taken in any order.  All 5 are required to earn a certificate.","Conduct an inferential statistical analysis

Discern whether a data visualization is good or bad

Enhance a data analysis with applied machine learning

Analyze the connectivity of a social network","Text Mining
Python Programming
Pandas
Matplotlib
Numpy
Data Cleansing
Data Virtualization
Data Visualization (DataViz)
Machine Learning (ML) Algorithms
Machine Learning
Scikit-Learn
Natural Language Toolkit (NLTK)"
,Data Analysis Using Python,University of Pennsylvania,"This course provides an introduction to basic data science techniques using Python.  Students are introduced to core concepts like Data Frames and joining data, and learn how to use data analysis libraries like pandas, numpy, and matplotlib.  This course provides an overview of loading, inspecting, and querying real-world data, and how to answer basic questions about that data.  Students will gain skills in data aggregation and summarization, as well as basic data visualization.","Apply basic data science techniques using Python

Understand and apply core concepts like Data Frames and joining data, and use data analysis libraries like pandas, numpy, and matplotlib

Demonstrate how to load, inspect, and query real-world data, and answer basic questions about that data

Analyze data further by applying learned skills in data aggregation and summarization, as well as basic data visualization","Data Science
Python Libraries
Python Programming
Data Analysis
Data Visualization (DataViz)"
,Data Science as a Field,University of Colorado Boulder,"This course provides a general introduction to the field of Data Science. It has been designed for aspiring data scientists, content experts who work with data scientists, or anyone interested in learning about what Data Science is and what it’s used for. Weekly topics include an overview of the skills needed to be a data scientist; the process and pitfalls involved in data science; and the practice of data science in the professional and academic world. This course is part of CU Boulder’s Master’s of Science in Data Science and was collaboratively designed by both academics and industry professionals to provide learners with an insider’s perspective on this exciting, evolving, and increasingly vital discipline.

Data Science as a Field can be taken for academic credit as part of CU Boulder’s Master of Science in Data Science (MS-DS) degree offered on the Coursera platform. The MS-DS is an interdisciplinary degree that brings together faculty from CU Boulder’s departments of Applied Mathematics, Computer Science, Information Science, and others. With performance-based admissions and no application process, the MS-DS is ideal for individuals with a broad range of undergraduate education and/or professional experience in computer science, information science, mathematics, and statistics. Learn more about the MS-DS program at https://www.coursera.org/degrees/master-of-science-data-science-boulder.","By taking this course, you will be able explain what data science is and identify the key disciplines involved.​

You will be able to use the steps of the data science process to create a reproducible data analysis and identify personal biases.​

You will be able to identify interesting data science applications, locate jobs in Data Science, and begin developing a professional network.​","Data Science
Applied Mathematics
Information Science
Statistics
Computer Science"
,Introduction to Data Science and scikit-learn in Python,Learn Quest,"This course will teach you how to leverage the power of Python and artificial intelligence to create and test hypothesis. We'll start for the ground up, learning some basic Python for data science before diving into some of its richer applications to test our created hypothesis. We'll learn some of the most important libraries for exploratory data analysis (EDA) and machine learning such as Numpy, Pandas, and Sci-kit learn. After learning some of the theory (and math) behind linear regression, we'll go through and full pipeline of reading data, cleaning it, and applying a regression model to estimate the progression of diabetes. By the end of the course, you'll apply a classification model to predict the presence/absence of heart disease from a patient's health data.","Employ artificial intelligence techniques to test hypothesis in Python

Apply a machine learning model combining Numpy, Pandas, and Scikit-Learn","Data Science
Machine Learning
regression
Statistical Hypothesis Testing
medical data"
,Applied Data Science Specialization,IBM,"This action-packed Specialization is for data science enthusiasts who want to acquire practical skills for real world data problems. If you’re interested in pursuing a career in data science, and already have foundational skills or have completed the Introduction to Data Science Specialization, this program is for you!  

This 4-course Specialization will give you the tools you need to analyze data and make data driven business decisions leveraging computer science and statistical analysis. You will learn Python–no prior programming knowledge necessary–and discover methods of data analysis and data visualization. You’ll utilize tools used by real data scientists like Numpy and Pandas, practice predictive modeling and model selection, and learn how to tell a compelling story with data to drive decision making.

Through guided lectures, labs, and projects in the IBM Cloud, you’ll get hands-on experience tackling interesting data problems from start to finish. Take this Specialization to solidify your Python and data science skills before diving deeper into big data, AI, and deep learning.

In addition to earning a Specialization completion certificate from Coursera, you’ll also receive a digital badge from IBM recognizing you as a specialist in applied data science.","Develop an understanding of Python fundamentals

Gain practical Python skills and apply them to data analysis

Communicate data insights effectively through data visualizations

Create a project demonstrating your understanding of applied data science techniques and tools","Data Science
Python Programming
Data Analysis
Pandas
Numpy
Ipython
Predictive Modelling
Data Visualization (DataViz)
Model Selection
Data Virtualization
Plotly
Matplotlib"
,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,"This course will introduce the learner to information visualization basics, with a focus on reporting and charting using the matplotlib library. The course will start with a design and information literacy perspective, touching on what makes a good and bad visualization, and what statistical measures translate into in terms of visualizations. The second week will focus on the technology used to make visualizations in python, matplotlib, and introduce users to best practices when creating basic charts and how to realize design decisions in the framework. The third week will be a tutorial of functionality available in matplotlib, and demonstrate a variety of basic statistical charts helping learners to identify when a particular method is good for a particular problem. The course will end with a discussion of other forms of structuring and visualizing data. 

This course should be taken after Introduction to Data Science in Python and before the remainder of the Applied Data Science with Python courses: Applied Machine Learning in Python, Applied Text Mining in Python, and Applied Social Network Analysis in Python.","Describe what makes a good or bad visualization

Understand best practices for creating basic charts

Identify the functions that are best for particular problems

Create a visualization using matplot","Python Programming
Data Virtualization
Data Visualization (DataViz)
Matplotlib"
,Applied Machine Learning in Python,University of Michigan,"This course will introduce the learner to applied machine learning, focusing more on the techniques and methods than on the statistics behind these methods. The course will start with a discussion of how machine learning is different than descriptive statistics, and introduce the scikit learn toolkit through a tutorial. The issue of dimensionality of data will be discussed, and the task of clustering data, as well as evaluating those clusters, will be tackled. Supervised approaches for creating predictive models will be described, and learners will be able to apply the scikit learn predictive modelling methods while understanding process issues related to data generalizability (e.g. cross validation, overfitting). The course will end with a look at more advanced techniques, such as building ensembles, and practical limitations of predictive models. By the end of this course, students will be able to identify the difference between a supervised (classification) and unsupervised (clustering) technique, identify which technique they need to apply for a particular dataset and need, engineer features to meet that need, and write python code to carry out an analysis. 

This course should be taken after Introduction to Data Science in Python and Applied Plotting, Charting & Data Representation in Python and before Applied Text Mining in Python and Applied Social Analysis in Python.","Describe how machine learning is different than descriptive statistics

Create and evaluate data clusters

Explain different approaches for creating predictive models

Build features that meet analysis needs","Python Programming
Machine Learning (ML) Algorithms
Machine Learning
Scikit-Learn"
